ID,joint_name,dynamixel_pos,joint_pos
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
12,right_wrist_flex_joint,2048,2048
