ID,joint_name,dynamixel_pos,joint_pos
12,right_wrist_flex_joint,1954,-0.144194
12,right_wrist_flex_joint,1954,-0.144194
12,right_wrist_flex_joint,1954,-0.144194
12,right_wrist_flex_joint,1955,-0.14266
12,right_wrist_flex_joint,1956,-0.141126
12,right_wrist_flex_joint,1959,-0.136524
12,right_wrist_flex_joint,1960,-0.13499
12,right_wrist_flex_joint,1963,-0.130388
12,right_wrist_flex_joint,1967,-0.124252
12,right_wrist_flex_joint,1969,-0.121184
12,right_wrist_flex_joint,1972,-0.116583
12,right_wrist_flex_joint,1975,-0.111981
12,right_wrist_flex_joint,1978,-0.107379
12,right_wrist_flex_joint,1981,-0.102777
12,right_wrist_flex_joint,1983,-0.0997088
12,right_wrist_flex_joint,1985,-0.0966408
12,right_wrist_flex_joint,1987,-0.0935728
12,right_wrist_flex_joint,1989,-0.0905049
12,right_wrist_flex_joint,1990,-0.0889709
12,right_wrist_flex_joint,1991,-0.0874369
12,right_wrist_flex_joint,1992,-0.0859029
12,right_wrist_flex_joint,1994,-0.082835
12,right_wrist_flex_joint,1995,-0.081301
12,right_wrist_flex_joint,1996,-0.079767
12,right_wrist_flex_joint,1997,-0.078233
12,right_wrist_flex_joint,1997,-0.078233
12,right_wrist_flex_joint,1999,-0.0751651
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,1999,-0.0751651
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2000,-0.0736311
12,right_wrist_flex_joint,2002,-0.0705631
12,right_wrist_flex_joint,2003,-0.0690291
12,right_wrist_flex_joint,2004,-0.0674952
12,right_wrist_flex_joint,2005,-0.0659612
12,right_wrist_flex_joint,2006,-0.0644272
12,right_wrist_flex_joint,2007,-0.0628932
12,right_wrist_flex_joint,2008,-0.0613592
12,right_wrist_flex_joint,2009,-0.0598252
12,right_wrist_flex_joint,2010,-0.0582913
12,right_wrist_flex_joint,2011,-0.0567573
